,loan_id,published_date,current_balance,original_balance,property_state,orig_int_rate,orig_dscr,orig_ltv,special_servicer,freddie_held,principal_paydown,label
120,300501002,2017-01-25,65347161,71500000,CA,0.0297,1.32,0.702,midland_loan_services,0.0,6152839,0.0
121,302781002,2017-01-25,65130000,65130000,IL,0.0381,1.4,0.796,keybank,0.0,0,0.0
122,10064676,2017-01-25,65000000,65000000,NY,0.0377,2.1,0.629,cwcapital,0.0,0,0.0
123,300060002,2017-01-25,64906824,65200000,CA,0.0355,1.27,0.617,keybank,0.0,293176,1.0
124,30305785,2017-01-25,64702936,67410000,VA,0.029237,1.51,0.716,"berkeley_point_capital,_llc",0.0,2707064,0.0
125,30288569,2017-01-25,64650270,68275000,VA,0.0385,1.254,0.664,keybank,0.0,3624730,0.0
126,30309886,2017-01-25,64650000,64650000,CA,0.024237,1.59,0.748,"berkeley_point_capital,_llc",0.0,0,0.0
127,30268882,2017-01-25,64615833,72675000,VA,0.056,1.28,0.749,"berkeley_point_capital,_llc",0.0,8059167,0.0
128,10082868,2017-01-25,64425000,64425000,FL,0.029837,1.6,0.75,keybank,0.0,0,0.0
129,30310302,2017-01-25,64270000,64270000,GA,0.025937,1.52,0.799,wells_fargo_bank,0.0,0,0.0
130,10062310,2017-01-25,63863220,70000000,MI,0.0441,1.543,0.721,wells_fargo_bank,0.0,6136780,0.0
131,30305942,2017-01-25,63828651,69250000,CT,0.030437,1.53,0.631,keybank,0.0,5421349,0.0
132,305331003,2017-01-25,63750000,63750000,CO,0.0294,2.38,0.699,cwcapital,0.0,0,0.0
133,303841002,2017-01-25,63664923,66375000,NY,0.0356,1.28,0.7,midland_loan_services,0.0,2710077,0.0
134,501164329,2017-01-25,63654617,66000000,VA,0.0387,1.311,0.688,berkadia,0.0,2345383,0.0
136,10093493,2017-01-25,63445616,66421000,CA,0.0367,1.25,0.742,wells_fargo_bank,0.0,2975384,0.0
137,10097997,2017-01-25,63300000,63300000,TX,0.0329,2.54,0.6,wells_fargo_bank,0.0,0,1.0
138,10073887,2017-01-25,62733886,68650000,CA,0.0418,1.55,0.597,wells_fargo_bank,0.0,5916114,0.0
139,305131002,2017-01-25,62510292,65550000,CA,0.0343,1.25,0.633,keybank,0.0,3039708,0.0
140,10069468,2017-01-25,62418723,65633000,MA,0.0336,1.25,0.741,wells_fargo_bank,0.0,3214277,0.0
141,304221002,2017-01-25,62334000,62334000,GA,0.037,1.25,0.705,cwcapital,0.0,0,0.0
142,304901102,2017-01-25,62220000,62220000,MD,0.0361,1.39,0.759,wells_fargo_bank,0.0,0,0.0
143,10073942,2017-01-25,62062500,62062500,CO,0.0411,1.25,0.744,wells_fargo_bank,0.0,0,0.0
144,10061480,2017-01-25,62009511,65367000,LA,0.062,1.35,0.717,wells_fargo_bank,0.0,3357489,0.0
145,10097996,2017-01-25,61832334,64200000,CT,0.0389,1.72,0.596,wells_fargo_bank,0.0,2367666,0.0
146,10082645,2017-01-25,61659000,61659000,CA,0.0321,2.78,0.497,wells_fargo_bank,0.0,0,0.0
147,302421001,2017-01-25,61263053,62500000,VA,0.028137,1.64,0.629,midland_loan_services,0.0,1236947,0.0
148,10061503,2017-01-25,61256996,61500000,VA,0.042,1.342,0.75,wells_fargo_bank,0.0,243004,0.0
149,10074286,2017-01-25,61245700,62156000,CA,0.0375,1.25,0.732,wells_fargo_bank,0.0,910300,0.0
150,10074236,2017-01-25,60611841,61673000,CA,0.0346,1.25,0.734,wells_fargo_bank,0.0,1061159,0.0
151,714100003,2017-01-25,60500000,60500000,IL,0.0382,2.06,0.697,wells_fargo_bank_,0.0,0,0.0
152,10099789,2017-01-25,60000000,60000000,IL,0.0435,1.25,0.736,wells_fargo_bank,0.0,0,0.0
153,304991017,2017-01-25,60000000,60000000,PA,0.025237,1.5,0.708,c-iii_asset_management_llc,0.0,0,0.0
154,300911003,2017-01-25,60000000,60000000,MD,0.0331,1.65,0.598,keybank,0.0,0,0.0
155,10099790,2017-01-25,59300000,59300000,MD,0.0411,1.26,0.792,wells_fargo_bank,0.0,0,0.0
156,30310354,2017-01-25,59250000,59250000,CA,0.029337,1.51,0.733,wells_fargo_bank,0.0,0,0.0
157,305131003,2017-01-25,59105047,60710000,TX,0.0382,1.25,0.721,keybank,0.0,1604953,0.0
158,304741037,2017-01-25,59050000,59050000,OR,0.0431,1.42,0.577,keybank,0.0,0,0.0
159,10099791,2017-01-25,59000000,59000000,MD,0.0438,1.26,0.714,wells_fargo_bank,0.0,0,0.0
160,30309570,2017-01-25,59000000,59000000,IL,0.024937,1.57,0.77,keybank,0.0,0,0.0
161,534403174,2017-01-25,58600000,29300000,CA,0.0423,1.78,0.52,wells_fargo_bank,0.0,-29300000,0.0
162,301451002,2017-01-25,58428064,62000000,VA,0.0418,1.36,0.644,cwcapital,0.0,3571936,0.0
163,304611002,2017-01-25,58077000,58077000,GA,0.037,1.25,0.682,wells_fargo_bank,0.0,0,0.0
164,818100002,2017-01-25,57975333,64443000,CA,0.0382,1.25,0.74,cwcapital,0.0,6467667,0.0
166,10093494,2017-01-25,57575000,57575000,CA,0.0368,1.92,0.689,wells_fargo_bank,0.0,0,0.0
167,46100002,2017-01-25,57433257,60000000,MA,0.0373,1.25,0.627,midland_loan_services,0.0,2566743,0.0
168,304741001,2017-01-25,57375000,57375000,AZ,0.0392,1.55,0.66,keybank,0.0,0,0.0
169,708151213,2017-01-25,57199000,57199000,TX,0.0414,1.851,0.651,freddie_mac,0.0,0,0.0
170,300501003,2017-01-25,57120474,62500000,CA,0.031,1.26,0.68,midland_loan_services,0.0,5379526,0.0
171,304991018,2017-01-25,57000000,57000000,VA,0.026437,1.45,0.724,c-iii_asset_management_llc,0.0,0,0.0
172,303681005,2017-01-25,57000000,57000000,TX,0.0388,1.38,0.706,wells_fargo_bank,0.0,0,0.0
173,304741038,2017-01-25,56997212,58340000,CA,0.0425,1.36,0.582,keybank,0.0,1342788,1.0
174,820101747,2017-01-25,56925974,62550000,NY,0.0416,1.32,0.741,wells_fargo_bank_,0.0,5624026,0.0
175,10086983,2017-01-25,56903639,60000000,NY,0.0401,1.94,0.309,wells_fargo_bank,0.0,3096361,0.0
176,30309870,2017-01-25,56215000,56215000,MD,0.023737,1.82,0.692,"berkeley_point_capital,_llc",0.0,0,0.0
177,301561002,2017-01-25,55784026,55967000,OH,0.051,1.25,0.795,keybank,0.0,182974,0.0
178,833100003,2017-01-25,55637241,58670000,CT,0.0416,1.261,0.799,midland_loan_services,0.0,3032759,0.0
179,304741002,2017-01-25,55592000,55592000,FL,0.0392,1.55,0.66,keybank,0.0,0,0.0
180,30304088,2017-01-25,55584000,55584000,TX,0.0375,1.29,0.8,midland_loan_services,0.0,0,0.0
181,30309900,2017-01-25,55425000,55425000,CA,0.025537,1.55,0.75,"berkeley_point_capital,_llc",0.0,0,0.0
