,loan_id,published_date,current_balance,original_balance,property_state,orig_int_rate,orig_dscr,orig_ltv,special_servicer,freddie_held,principal_paydown,label,orig_occ_rate,most_rct_occ_rate,occ_rate_delta,orig_noi,most_rct_noi,noi_delta,most_rct_value,orig_value,value_delta,most_rct_ltv,ltv_delta,most_rct_debt_serv,orig_debt_serv,debt_serv_delta,most_rct_dscr,dscr_delta
31,30268927,2017-01-25,115510459,125000000,CA,0.0542,1.35,0.653,keybank,0.0,9489541,0.0,0.8947,0.95,0.0553,0.0,20213727,20213727.0,191300000,191424196.018,-124196.018377,0.603818395191,-0.0491816048092,11255597.6,0.0,11255597.6,1.76,0.41
32,30268847,2017-01-25,115356571,130000000,MA,0.0551,1.272,0.665,"berkeley_point_capital,_llc",0.0,14643429,0.0,0.9882,0.0,-0.9882,0.0,0,0.0,0,195488721.805,-195488721.805,inf,inf,0.0,0.0,0.0,0.0,-1.272
33,10073627,2017-01-25,113996790,120000000,NY,0.0304,1.77,0.4,wells_fargo_bank,0.0,6003210,0.0,0.978,0.99,0.012,10835555.0,6462757,-4372798.0,300000000,300000000.0,0.0,0.3799893,-0.0200107,3051103.62,6121782.48588,-3070678.86588,2.11,0.34
34,300651002,2017-01-25,111703880,112860000,NY,0.0374,1.25,0.661,cwcapital,0.0,1156120,0.0,0.991,1.0,0.009,8168438.0,9712460,1544022.0,170700000,170741301.059,-41301.0590015,0.654387111892,-0.00661288810779,4778719.0,6534750.4,-1756031.4,1.962,0.712
35,10069447,2017-01-25,110209294,120422000,CA,0.0306,1.25,0.675,wells_fargo_bank,0.0,10212706,0.0,0.98,0.94,-0.04,7909850.81,5887600,-2022250.81,257270000,178402962.963,78867037.037,0.428379888833,-0.246620111167,4024826.28,6327880.648,-2303054.368,1.43,0.18
36,10100817,2017-01-25,109870753,112313000,MD,0.0308,1.3,0.772,wells_fargo_bank,0.0,2442247,0.0,0.929,0.93,0.001,7700313.9,6066715,-1633598.9,145400000,145483160.622,-83160.6217616,0.755644793673,-0.0163552063274,4305381.66,5923318.38462,-1617936.72462,1.36,0.06
37,30308279,2017-01-25,109788188,116425000,CA,0.0301,1.4,0.586,wells_fargo_bank,0.0,6636812,0.0,0.919,0.0,-0.919,0.0,0,0.0,196900000,198677474.403,-1777474.40273,0.557583484002,-0.028416515998,0.0,0.0,0.0,0.0,-1.4
38,534378366,2017-01-25,108639349,121434000,NY,0.055,1.35,0.725,cwcapital,0.0,12794651,0.0,0.978,0.97,-0.008,11258720.0,11286866,28146.0,166700000,167495172.414,-795172.413793,0.651705752849,-0.0732942471506,6205400.0,8339792.59259,-2134392.59259,1.808,0.458
39,303841001,2017-01-25,107200000,107200000,TX,0.0381,1.26,0.78,midland_loan_services,0.0,0,0.0,0.9179,0.94,0.0221,7872465.89,6804725,-1067740.89,137400000,137435897.436,-35897.4358974,0.780203784571,0.000203784570597,4152392.0,6247988.80159,-2095596.80159,1.563,0.303
40,10060769,2017-01-25,105000000,105000000,NY,0.0466,1.89,0.5,keybank,0.0,0,0.0,0.939,0.96,0.021,9530688.0,5289178,-4241510.0,210000000,210000000.0,0.0,0.5,0.0,2473683.94,5042692.06349,-2569008.12349,2.13,0.24
41,10073687,2017-01-25,101318332,107000000,NY,0.0401,1.293,0.643,wells_fargo_bank,0.0,5681668,0.0,0.9435,0.96,0.0165,8030808.0,5020430,-3010378.0,166300000,166407465.008,-107465.007776,0.609250342754,-0.0337496572459,3068708.58,6210988.39907,-3142279.81907,1.62,0.327
42,860100001,2017-01-25,100841513,101671000,DC,0.0488,1.25,0.616,wells_fargo_bank,0.0,829487,0.0,0.943,0.99,0.047,8145913.0,8243680,97767.0,165000000,165050324.675,-50324.6753247,0.611160684848,-0.00483931515152,5391367.0,6516730.4,-1125363.4,1.516,0.266
43,30285024,2017-01-25,98179075,110000000,NY,0.0441,1.44,0.493,wells_fargo_bank,0.0,11820925,0.0,0.99,0.95,-0.04,0.0,8379359,8379359.0,221900000,223123732.252,-1223732.25152,0.44244738621,-0.05055261379,6617843.52,0.0,6617843.52,1.23,-0.21
44,10081426,2017-01-25,96362042,103800000,CA,0.0337,1.25,0.598,midland_loan_services,0.0,7437958,0.0,0.934,0.96,0.026,3403322.0,0,-3403322.0,173000000,173578595.318,-578595.317726,0.557006023121,-0.0409939768786,0.0,2722657.6,-2722657.6,0.0,-1.25
45,304991015,2017-01-25,95166000,95166000,NJ,0.024937,1.59,0.798,c-iii_asset_management_llc,0.0,0,0.0,0.93,0.81,-0.12,7017972.42,6120888,-897084.42,119300000,119255639.098,44360.9022556,0.79770326907,-0.000296730930427,2200101.0,4413819.13208,-2213718.13208,2.681,1.091
46,30309059,2017-01-25,93322000,93322000,TX,0.024037,1.58,0.778,trimont,0.0,0,0.0,0.983,0.97,-0.013,0.0,7193310,7193310.0,119975000,119951156.812,23843.1876607,0.777845384455,-0.000154615544905,2069642.0,0.0,2069642.0,3.37,1.79
47,833100001,2017-01-25,93151432,98800000,MA,0.0359,1.339,0.768,midland_loan_services,0.0,5648568,0.0,0.931,0.0,-0.931,7521763.0,0,-7521763.0,0,128645833.333,-128645833.333,inf,inf,0.0,5617448.09559,-5617448.09559,0.0,-1.339
48,651100001,2017-01-25,91971319,103545000,NY,0.0427,1.55,0.625,cwcapital,0.0,11573681,0.0,1.0,0.93,-0.07,8862338.0,10905636,2043298.0,164700000,165672000.0,-972000.0,0.558417237401,-0.0665827625987,6127107.0,5717637.41935,409469.580645,1.77,0.22
49,300060001,2017-01-25,91670000,91670000,NY,0.0369,1.26,0.542,keybank,0.0,0,0.0,0.961,0.69,-0.271,6440662.0,3495277,-2945385.0,169000000,169132841.328,-132841.328413,0.542426035503,0.000426035502958,2583948.0,5111636.50794,-2527688.50794,1.33,0.07
50,10073017,2017-01-25,90151189,90675000,MD,0.0384,1.25,0.75,wells_fargo_bank,0.0,523811,0.0,0.941,0.97,0.029,7509352.0,0,-7509352.0,155600000,120900000.0,34700000.0,0.579377821337,-0.170622178663,0.0,6007481.6,-6007481.6,0.0,-1.25
51,30309079,2017-01-25,90000000,90000000,NJ,0.024937,1.49,0.743,trimont,0.0,0,0.0,0.929,0.0,-0.929,0.0,0,0.0,121200000,121130551.817,69448.1830417,0.742574257426,-0.000425742574257,0.0,0.0,0.0,0.0,-1.49
52,968720110,2017-01-25,89656520,100000000,NY,0.0534,1.26,0.663,cwcapital,0.0,10343480,0.0,0.987,0.97,-0.017,8563449.0,8143756,-419693.0,150000000,150829562.594,-829562.594269,0.597710133333,-0.0652898666667,5020121.0,6796388.09524,-1776267.09524,1.605,0.345
53,10063214,2017-01-25,88109961,93050000,VA,0.0385,1.251,0.64,midland_loan_services,0.0,4940039,0.0,0.955,0.96,0.005,6470256.0,4786210,-1684046.0,148000000,145390625.0,2609375.0,0.595337574324,-0.0446624256757,3926034.54,5172067.14628,-1246032.60628,1.2,-0.051
