,lnno,mrtg_status,quarter,amt_upb_endg,amt_upb_pch,code_st,rate_int,rate_dcr
79996,222122981,100,2016-03-31,1210742.12,4550000.0,WA,0.0678,0.0
80034,222259942,100,2016-03-31,15200000.0,15200000.0,NV,0.0555,1.42
80099,222270002,100,2016-03-31,2522755.55,3050000.0,MS,0.0677,1.165
80273,222778487,100,2016-03-31,10578646.78,11050000.0,TX,0.0566,1.49
80315,222869968,100,2016-03-31,1265612.77,3220000.0,NY,0.053,1.152
80608,224096940,100,2016-03-31,4475186.65,4850000.0,MN,0.0545,1.505
80804,224272002,100,2016-03-31,28538799.57,29316000.0,FL,0.0525,1.279
80891,224278002,100,2016-03-31,20150389.17,22000000.0,NJ,0.0626,1.943
81057,225097940,100,2016-03-31,8443051.03,9820000.0,ND,0.0608,1.34
81097,225098940,100,2016-03-31,3065410.61,3636673.18,MD,0.0562,1.774
81253,225439534,100,2016-03-31,10461683.59,11800000.0,IL,0.034305,1.606
81381,226098940,100,2016-03-31,8466815.25,10000000.0,SC,0.0596,1.373
81562,226275002,100,2016-03-31,4808814.31,6200000.0,MN,0.0582,1.431
81594,226416504,100,2016-03-31,9527199.91,9906000.0,DE,0.0574,1.501
81647,226849708,100,2016-03-31,5720000.0,5720000.0,CO,0.036905,2.208
81686,227097940,100,2016-03-31,1383133.66,1600000.0,SD,0.0628,1.311
81727,227272002,500,2016-03-31,,1500000.0,MS,0.029295,1.601
81973,228266002,100,2016-03-31,1669784.07,2100000.0,CA,0.0648,4.021
82404,230099940,100,2016-03-31,13160052.7,15000000.0,LA,0.0579,1.479
82495,230272002,500,2016-03-31,,5000000.0,NC,0.029295,1.471
82683,230871948,100,2016-03-31,2986124.03,4650000.0,WA,0.0625,1.323
82974,231778487,100,2016-03-31,4014171.22,4300000.0,MI,0.0606,1.484
83052,232097940,500,2016-03-31,,30260000.0,TX,0.0577,1.515
83416,232871948,100,2016-03-31,2435127.65,2605000.0,LA,0.0604,1.27
83556,233099940,100,2016-03-31,6505255.42,7000000.0,SC,0.0593,1.517
83814,233416504,100,2016-03-31,4426983.91,4603000.0,MD,0.0574,1.472
83835,233828708,100,2016-03-31,1936769.89,2050000.0,CA,0.0398,1.516
83879,233871948,100,2016-03-31,16978405.51,17750000.0,LA,0.0628,1.237
83951,234099940,100,2016-03-31,5838609.89,6300000.0,NC,0.0593,1.426
84191,234416504,100,2016-03-31,4707817.87,4895000.0,OH,0.0574,1.35
84239,234828708,100,2016-03-31,4251446.1,4500000.0,CA,0.0398,1.475
84284,234871948,100,2016-03-31,8441200.22,8870000.0,LA,0.062,1.153
84346,235097940,100,2016-03-31,14500000.0,14500000.0,IL,0.0615,1.47
84380,235099940,100,2016-03-31,18180758.18,19000000.0,LA,0.0588,1.468
84446,235259942,100,2016-03-31,13258374.47,14600000.0,CO,0.0548,1.492
84690,235439534,100,2016-03-31,2461517.17,2563000.0,MS,0.0703,1.15
85012,236275002,100,2016-03-31,2678668.4,4093084.25,MN,0.0497,2.026
85117,236439534,100,2016-03-31,89473.72,282000.0,MS,0.0703,1.196
85173,236871948,100,2016-03-31,7275756.92,7912000.0,WA,0.0612,1.213
85249,237258942,500,2016-03-31,,7500000.0,CA,0.02925,1.547
85380,237275002,100,2016-03-31,980276.36,1447875.23,MN,0.059,2.139
85427,237276002,100,2016-03-31,9666111.76,15415000.0,MN,0.0593,1.391
85445,237821708,100,2016-03-31,10872535.51,10961140.44,FL,0.0471,1.1647897
85669,238828708,100,2016-03-31,2833715.82,3000000.0,CA,0.0396,1.527
85773,239099940,100,2016-03-31,14470983.69,15350000.0,GA,0.029405,1.328
85919,239277002,100,2016-03-31,53315.41,1200000.0,CT,0.071,1.63
86005,239869968,100,2016-03-31,47000000.0,47000000.0,NY,0.0526,5.48
86230,240271002,100,2016-03-31,2617688.35,2890147.0,AL,0.0576,1.671
86556,241241932,100,2016-03-31,30600000.0,30600000.0,CA,0.028305,2.5192128
86697,241267002,100,2016-03-31,3601217.13,4182947.21,CA,0.0775,1.186
86836,241277002,100,2016-03-31,48872.91,1100000.0,CT,0.071,1.732
86909,241778487,100,2016-03-31,14435649.27,15813000.0,WI,0.0573,1.404
86951,241869968,500,2016-03-31,,4275000.0,NY,0.029295,1.367
86973,241871948,100,2016-03-31,4847922.66,5130000.0,TX,0.0701,1.297
87012,242097940,100,2016-03-31,16025669.04,17000000.0,IN,0.0609,1.381
87081,242099940,100,2016-03-31,12703019.51,13285000.0,GA,0.058,1.342
87313,242821708,100,2016-03-31,11316605.25,11500000.0,CA,0.0486,1.1882545
87371,243100941,100,2016-03-31,10958524.64,12130372.06,TX,0.037905,1.519
87467,243259942,100,2016-03-31,8455000.0,8455000.0,CA,0.0574,1.499
87779,243816708,100,2016-03-31,8019864.4,8500000.0,NY,0.0599,1.329
87820,243869968,100,2016-03-31,5214457.93,6212088.74,NY,0.0624,1.25
87948,244259942,100,2016-03-31,20000000.0,20000000.0,CA,0.0574,1.603
88119,244816708,100,2016-03-31,2790086.37,3000000.0,NY,0.0446,1.649
88306,245271002,100,2016-03-31,3236745.54,3929500.0,GA,0.0602,1.263
88421,245816708,100,2016-03-31,3722088.42,4000000.0,NY,0.045,1.523
88429,245820708,100,2016-03-31,3560750.31,3665000.0,CA,0.0504,1.603
88486,246096940,100,2016-03-31,6753097.58,8275000.0,KS,0.029405,1.55
88524,246097940,100,2016-03-31,5048481.19,5552000.0,MN,0.0585,1.532
88563,246098940,100,2016-03-31,11816517.64,13775000.0,MD,0.0612,1.22
88597,246099940,100,2016-03-31,12325323.2,12890000.0,GA,0.058,1.36
88650,246259942,100,2016-03-31,18000000.0,18000000.0,CA,0.0574,1.49
88877,246778487,100,2016-03-31,6152017.35,6600000.0,MN,0.0572,1.557
88909,246779487,100,2016-03-31,35398704.0,35398704.0,DC,0.0571,1.467
88924,246815708,100,2016-03-31,5729000.0,5729000.0,FL,0.0477,1.3987549
88938,246828708,100,2016-03-31,7995254.17,8500000.0,IL,0.0422,1.273
89039,247098940,100,2016-03-31,6648131.9,7750000.0,MD,0.0612,1.212
89073,247099940,100,2016-03-31,9500000.0,9500000.0,AR,0.0592,1.594
89506,248096940,100,2016-03-31,10865711.19,13225000.0,KS,0.029405,1.25
89575,248099940,100,2016-03-31,5000000.0,5000000.0,TN,0.0583,2.456
89796,248411504,100,2016-03-31,3992816.51,4400000.0,OH,0.0614,1.309
89855,248439534,100,2016-03-31,2352084.43,2800000.0,CA,0.0604,1.622
89887,248779487,100,2016-03-31,16531344.0,16531344.0,MD,0.0571,1.476
89929,248869968,100,2016-03-31,281948.76,1131390.28,PA,0.0521,1.13
90117,249259942,100,2016-03-31,10374946.42,11800000.0,WA,0.0543,1.514
90341,249439534,100,2016-03-31,2352084.43,2800000.0,CA,0.0604,1.633
90478,250259942,100,2016-03-31,6100000.0,6100000.0,CA,0.058,1.524
90687,250869968,100,2016-03-31,3711875.25,6000000.0,NJ,0.029405,1.181
90723,250872968,100,2016-03-31,8500000.0,8500000.0,CA,0.0623,1.744
90824,251807708,100,2016-03-31,5695179.41,7256000.0,MN,0.0477,1.3
90840,251816708,100,2016-03-31,1082297.26,1150000.0,TX,0.049,1.356
90916,252099940,100,2016-03-31,15767222.34,16725000.0,GA,0.029405,1.33
91187,252688946,100,2016-03-31,2685510.72,3075000.0,NY,0.0696,1.441
91279,253098940,100,2016-03-31,7821772.86,8700000.0,NC,0.0566,1.474
91313,253099940,100,2016-03-31,6817653.72,7130000.0,GA,0.058,1.398
91408,253266002,100,2016-03-31,1579498.78,2350000.0,CA,0.0632,1.376
91847,254778487,100,2016-03-31,5524097.89,6324000.0,IN,0.0561,1.365
92120,255273002,100,2016-03-31,8192211.04,13100000.0,NE,0.071,1.341
92315,256259942,100,2016-03-31,4756272.64,5500000.0,CA,0.0565,2.848
92571,257099940,100,2016-03-31,6689147.68,7600000.0,MD,0.0657,1.212
92696,257272002,500,2016-03-31,,23500000.0,MS,0.02925,1.49
92854,257869968,500,2016-03-31,,6450000.0,CT,0.02925,1.426
92887,257884948,100,2016-03-31,13328650.92,13860000.0,MD,0.04148,1.867
93412,259276002,100,2016-03-31,2241186.68,2797031.98,MN,0.0567,1.421
93977,261241932,100,2016-03-31,6750000.0,6750000.0,WA,0.030705,2.1515372
94018,261272002,500,2016-03-31,,19750000.0,TN,0.029405,1.673
94081,261278002,100,2016-03-31,3766220.42,4656000.0,NJ,0.064,1.271
94106,261415504,100,2016-03-31,19970144.84,21696000.0,TX,0.0622,1.361
94606,263278002,100,2016-03-31,2483312.17,3070000.0,NJ,0.064,1.268
94715,264097940,100,2016-03-31,2055521.34,2375000.0,MI,0.0625,1.944
