,lnno,mrtg_status,quarter,amt_upb_endg,amt_upb_pch,code_st,rate_int,rate_dcr
5186,14278002,100,2016-03-31,1101763.62,1379000.0,NH,0.0663,1.651
5214,14415504,100,2016-03-31,1930254.81,2110000.0,LA,0.0658,1.253
5553,15278002,100,2016-03-31,524914.77,657000.0,NH,0.0663,1.651
5582,15415504,100,2016-03-31,1831255.45,2000000.0,LA,0.0663,1.254
5583,15824708,100,2016-03-31,32500000.0,32500000.0,DC,0.0402,1.7642528
5647,16099940,100,2016-03-31,3660860.63,4200000.0,NC,0.0588,1.551
5927,16820708,100,2016-03-31,13447500.86,13479000.0,CA,0.0529,1.365
6318,17815708,100,2016-03-31,39051000.0,39051000.0,NV,0.027105,2.9545303
6365,18267002,100,2016-03-31,5856307.75,7400000.0,CA,0.0516,1.602
6572,18414504,100,2016-03-31,1266061.22,1342000.0,PA,0.0695,1.264
6721,19099940,500,2016-03-31,,14000000.0,NC,0.055,1.843
6835,19278002,100,2016-03-31,915047.13,1145300.0,NH,0.0663,1.651
6866,19412504,100,2016-03-31,1770573.23,2000000.0,CA,0.0573,2.565
7475,21099940,100,2016-03-31,15129549.78,15800000.0,SC,0.0633,1.369
7961,22098940,100,2016-03-31,3838611.89,4000000.0,KS,0.0621,1.452
8237,22417504,100,2016-03-31,6956018.26,7450000.0,FL,0.0564,1.477
8284,22691946,100,2016-03-31,1747513.93,2400000.0,FL,0.0652,1.228
8381,23117981,100,2016-03-31,1640039.6,2580000.0,OH,0.08329,0.0
8647,23412504,100,2016-03-31,4845791.4,5000000.0,CA,0.0617,1.507
9250,25117981,100,2016-03-31,763988.42,1200000.0,OH,0.08388,0.0
9459,25414504,500,2016-03-31,,28500000.0,TX,0.029295,1.612
9619,26117981,100,2016-03-31,309389.52,470000.0,OH,0.0925,0.0
9789,26269002,500,2016-03-31,,4294408.5,NC,0.0667,1.615
9984,26437534,500,2016-03-31,,2750000.0,AR,0.03583,1.461
10055,26780487,100,2016-03-31,17290719.18,18000000.0,CO,0.0559,1.436
10092,26870968,100,2016-03-31,945431.17,1800000.0,NY,0.0598,2.085
10138,27098940,100,2016-03-31,4978057.54,5200000.0,WI,0.0619,1.418
10203,27117981,100,2016-03-31,722197.86,1150000.0,OH,0.0801,0.0
10327,27272002,500,2016-03-31,,41000000.0,GA,0.029295,1.559
10518,28099940,500,2016-03-31,,30000000.0,FL,0.0546,1.373
10837,29098940,100,2016-03-31,14490000.0,14490000.0,TX,0.0601,1.35
11279,30259942,100,2016-03-31,4526557.76,4800000.0,CA,0.0558,1.513
11716,31259942,100,2016-03-31,2222255.73,2575000.0,AZ,0.0588,1.224
11809,31272002,100,2016-03-31,5190376.87,6000000.0,VA,0.0597,1.254
11997,31779487,100,2016-03-31,3654805.97,4000000.0,FL,0.0586,1.304
12011,31807708,100,2016-03-31,4400885.87,4500000.0,FL,0.0579,1.378
12101,32099940,100,2016-03-31,4655096.42,5350000.0,SC,0.056,1.271
12265,32272002,100,2016-03-31,12500000.0,12500000.0,MD,0.029405,2.073
12492,33099940,100,2016-03-31,21500000.0,21500000.0,AL,0.0594,1.627
12994,34417504,100,2016-03-31,5294782.64,5900000.0,LA,0.029405,1.315
13019,34418504,100,2016-03-31,4652200.33,6554000.0,CA,0.0803,1.328
13363,35870968,100,2016-03-31,9855558.88,10900000.0,NY,0.0595,1.16
13481,36275002,100,2016-03-31,1556949.87,8169931.81,TX,0.0524,1.692
13689,37870968,100,2016-03-31,11749554.46,13700000.0,NJ,0.0526,4.252
13925,39098940,100,2016-03-31,15167509.91,17360370.52,TX,0.0594,1.365
14324,39278002,100,2016-03-31,410272.78,1575000.0,NY,0.0579,1.207
14404,39871968,500,2016-03-31,,9940000.0,PA,0.03553,1.551
14471,40098940,100,2016-03-31,11765952.07,13463683.88,TX,0.0595,1.378
14739,41097940,100,2016-03-31,6435092.16,7500000.0,IL,0.029405,1.277
15063,41779487,100,2016-03-31,4533749.42,4730000.0,FL,0.0567,1.511
15076,41806708,100,2016-03-31,2250563.22,2400000.0,OH,0.0548,1.311
15112,41870968,100,2016-03-31,2283517.3,2440000.0,NY,0.0633,1.176
15151,42097940,100,2016-03-31,9795422.0,10800000.0,TX,0.0571,1.524
15186,42098940,100,2016-03-31,2178828.54,2500000.0,MN,0.0581,1.651
15405,42779487,100,2016-03-31,6901267.43,7200000.0,FL,0.0567,1.513
15437,42780487,100,2016-03-31,87671299.91,100700000.0,CA,0.0544,1.15
15450,42806708,100,2016-03-31,994514.52,1058569.03,KS,0.0571,1.311
15515,43098940,100,2016-03-31,19231098.56,19550000.0,TX,0.0613,1.393
15610,43258942,100,2016-03-31,23425205.91,26500000.0,CA,0.0551,1.49
15938,44259942,500,2016-03-31,,15600000.0,AZ,0.02925,1.503
16084,44780487,100,2016-03-31,3261435.33,5400000.0,CA,0.0586,1.429
16101,44816708,100,2016-03-31,3646136.59,3835000.0,PA,0.06221,1.167
16470,45269002,100,2016-03-31,3200403.21,4156761.25,NC,0.0726,1.445
16885,46418504,100,2016-03-31,5633878.19,6085380.96,OH,0.0633,1.661
16910,46437534,100,2016-03-31,6336507.6,6900000.0,NC,0.0608,1.379
17193,47276002,100,2016-03-31,8159960.3,11382854.59,TX,0.0573,1.259
17209,47413504,100,2016-03-31,2146952.4,2195000.0,KY,0.0829,1.209
17233,47418504,100,2016-03-31,10250143.21,11071596.22,IN,0.0633,1.751
17271,47779487,100,2016-03-31,5252631.24,5480000.0,FL,0.0567,1.721
17928,49418504,100,2016-03-31,12382505.93,13374847.96,CA,0.0633,1.615
18017,49779487,100,2016-03-31,12173068.86,12700000.0,FL,0.0567,1.994
18052,49871948,100,2016-03-31,3000000.0,3000000.0,CA,0.0618,1.922
18388,50270002,100,2016-03-31,688492.68,3750000.0,TN,0.057,1.26
18444,50417504,100,2016-03-31,18600819.53,20159000.0,GA,0.029405,1.364
18468,50418504,100,2016-03-31,4371112.35,4721416.26,OH,0.0633,1.614
18526,50780487,100,2016-03-31,23194936.48,25200000.0,AZ,0.039405,1.457
18717,51418504,100,2016-03-31,8594208.41,9282953.87,CT,0.0633,1.61
18780,51780487,100,2016-03-31,1750236.88,1850000.0,TX,0.0616,1.323
18784,51849708,100,2016-03-31,4132545.53,4193703.41,TX,0.040405,1.363
19034,53097940,100,2016-03-31,6500000.0,6500000.0,TX,0.0616,1.901
19090,53099940,100,2016-03-31,4435436.73,5130000.0,FL,0.0543,1.516
19466,53870968,100,2016-03-31,3411946.39,3825000.0,PA,0.0554,1.634
19502,54097940,100,2016-03-31,8000000.0,8000000.0,TX,0.0612,1.893
19587,54117981,100,2016-03-31,827049.2,4700000.0,MI,0.0724,0.0
19636,54281002,100,2016-03-31,25217604.35,27500000.0,NY,0.0525,1.983
19777,54871948,100,2016-03-31,2497720.19,3785000.0,WA,0.0625,1.61
20067,55281002,100,2016-03-31,14672060.99,16000000.0,NY,0.0525,2.038
20161,56098940,100,2016-03-31,8726346.55,10000000.0,WI,0.0616,1.245
20320,57281002,100,2016-03-31,3668015.05,4000000.0,NY,0.0525,2.012
20343,57439534,100,2016-03-31,1299939.39,1450000.0,WI,0.0625,1.439
20388,58100941,100,2016-03-31,1987776.09,2025000.0,IN,0.0742,1.393
20484,58411504,500,2016-03-31,,9325000.0,TX,0.029295,1.06
20518,58779487,100,2016-03-31,37725261.77,39375000.0,GA,0.0562,1.303
20552,58870948,100,2016-03-31,1154458.49,1300000.0,TX,0.0631,1.449
20701,59258942,500,2016-03-31,,8500000.0,CA,0.029405,1.586
20851,60097940,100,2016-03-31,2063903.39,2410000.0,TX,0.0667,1.189
21150,60825708,100,2016-03-31,7268037.98,7300000.0,NC,0.038905,1.521
21189,60871948,100,2016-03-31,4695079.32,4950000.0,MS,0.0663,1.865
21289,61267002,100,2016-03-31,7724733.62,9000000.0,CO,0.0627,1.267
21428,62096940,100,2016-03-31,14638444.77,20000000.0,TX,0.0537,1.27
21462,62099940,100,2016-03-31,2113010.43,2600000.0,FL,0.0585,1.209
21782,62871948,100,2016-03-31,7581000.0,7581000.0,CA,0.0607,1.479
21999,64100941,500,2016-03-31,,5538000.0,FL,0.0614,1.45
22309,64690946,100,2016-03-31,2431927.0,2900000.0,NY,0.0632,1.219
22353,64883948,100,2016-03-31,26959460.19,29400000.0,AL,0.038405,1.715
22388,65098940,500,2016-03-31,,22400000.0,TX,0.0613,1.383
22678,65870968,100,2016-03-31,1626871.11,2000000.0,NJ,0.0635,1.77
23061,67099940,100,2016-03-31,6837446.24,7400000.0,FL,0.059,1.329
23290,67274002,100,2016-03-31,1155808.88,2560000.0,TX,0.0663,1.435
23448,67818708,100,2016-03-31,3749052.68,4000000.0,NY,0.0386,8.144
23483,67871948,100,2016-03-31,28625000.0,28625000.0,LA,0.0607,1.321
23590,68267002,100,2016-03-31,449019.38,1400000.0,CA,0.0588,3.246
23803,68437534,100,2016-03-31,62911485.74,69597893.0,CA,0.0639,1.3
23874,68871948,100,2016-03-31,12004000.0,12004000.0,LA,0.0607,1.463
23939,69259942,100,2016-03-31,8282750.36,9600000.0,CA,0.029405,1.223
24135,69779487,100,2016-03-31,2500000.0,2500000.0,FL,0.057,2.672
24167,69780487,100,2016-03-31,4924048.77,5580000.0,CA,0.0574,1.15
24224,69871948,100,2016-03-31,18985000.0,18985000.0,LA,0.0607,1.391
24380,70437534,100,2016-03-31,53736975.58,59478150.0,CA,0.0636,1.3
24723,71418504,100,2016-03-31,1988094.31,2125000.0,LA,0.0701,1.157
24752,71437534,100,2016-03-31,47268770.71,52318893.0,CA,0.0636,1.3
24865,71870968,100,2016-03-31,674529.87,905000.0,NY,0.0667,1.311
24889,71871948,100,2016-03-31,2283079.15,2450000.0,MS,0.0664,1.384
25371,72437534,100,2016-03-31,44623987.14,49358508.0,CA,0.064,1.3
25525,72871948,100,2016-03-31,25350000.0,25350000.0,FL,0.0607,1.394
25723,73272002,100,2016-03-31,6983664.99,8500000.0,SC,0.0558,1.358
25780,73273002,100,2016-03-31,2049431.09,4492059.31,TX,0.0685,1.402
25857,73412504,100,2016-03-31,6282077.13,7000000.0,CA,0.0621,1.311
25888,73413504,500,2016-03-31,,1900000.0,NJ,0.0628,1.577
26236,74413504,500,2016-03-31,,7300000.0,NJ,0.0628,1.548
26546,75413504,100,2016-03-31,4200000.0,4200000.0,NJ,0.0628,1.548
26635,75870968,100,2016-03-31,7283196.39,8500000.0,NY,0.0578,1.33
26670,76098940,100,2016-03-31,3350000.0,3350000.0,WI,0.0573,2.261
26892,76271002,100,2016-03-31,5882363.45,7000000.0,SC,0.0672,1.288
26943,76413504,500,2016-03-31,,4080000.0,NJ,0.0628,1.568
27009,76780487,100,2016-03-31,18101722.73,20643000.0,CA,0.0547,1.15
27192,77413504,500,2016-03-31,,6760000.0,NJ,0.0628,1.608
27286,77870968,100,2016-03-31,1849257.21,2050000.0,CT,0.0583,1.613
27482,78413504,100,2016-03-31,6020000.0,6020000.0,NJ,0.0628,1.568
27818,79818708,100,2016-03-31,1695729.81,1795000.0,MO,0.0457,1.631
27853,79870968,100,2016-03-31,30000000.0,30000000.0,NY,0.054,1.64
27873,79871968,500,2016-03-31,,4500000.0,NV,0.03225,2.003
28033,80413504,100,2016-03-31,5700000.0,5700000.0,NJ,0.0628,1.556
28073,80870968,100,2016-03-31,6027867.74,7000000.0,CT,0.0616,1.291
28359,81413504,100,2016-03-31,2100000.0,2100000.0,NJ,0.063,1.555
28385,81849708,100,2016-03-31,2320000.0,2320000.0,CO,0.040205,1.979
28906,83273002,100,2016-03-31,1112930.07,1434013.44,IN,0.0788,1.2
29094,83413504,100,2016-03-31,2420000.0,2420000.0,NJ,0.063,1.791
29383,84267002,100,2016-03-31,4540418.16,5600000.0,CA,0.0588,1.253
29510,84273002,100,2016-03-31,1423156.91,1833738.44,IN,0.0788,1.171
29708,84778487,100,2016-03-31,9682423.62,10800000.0,NC,0.029405,1.31
29765,84829708,100,2016-03-31,3403685.25,3546000.0,NC,0.0503,1.268
30323,86778487,100,2016-03-31,5631717.39,5830000.0,NJ,0.0587,1.457
30357,86829708,100,2016-03-31,5229350.36,5448000.0,NC,0.0503,1.264
30393,86870968,100,2016-03-31,14659277.92,15500000.0,NY,0.0547,1.578
30532,87258942,100,2016-03-31,11138717.09,12600000.0,AZ,0.029405,1.513
30768,87778487,100,2016-03-31,2229379.37,2400000.0,TX,0.0625,1.485
31033,88272002,100,2016-03-31,6549869.14,7453000.0,NC,0.0541,1.503
31173,88870968,100,2016-03-31,1553319.62,3000000.0,NY,0.0551,1.223
31559,89780487,500,2016-03-31,,3491000.0,AZ,0.0579,1.4
31879,90780487,100,2016-03-31,16047529.66,17500000.0,WA,0.0561,1.637
32083,91274002,100,2016-03-31,3926615.34,9000000.0,IN,0.0663,1.621
32239,91870968,100,2016-03-31,1566264.44,3025000.0,NY,0.0551,1.312
32452,92418504,100,2016-03-31,1560464.4,1722000.0,NV,0.0698,1.398
32587,93259942,100,2016-03-31,7777603.65,8222000.0,WA,0.056,1.415
32701,93272002,100,2016-03-31,2875922.04,3750000.0,VA,0.0583,1.561
32810,93415504,100,2016-03-31,8306074.01,9031603.0,GA,0.0722,1.611
32868,93870968,100,2016-03-31,4952406.83,5750000.0,NJ,0.06,1.211
33210,94415504,100,2016-03-31,1921731.59,2100000.0,GA,0.0688,1.315
33264,94863708,100,2016-03-31,2770060.53,2881000.0,OR,0.049,1.45
33621,95413504,100,2016-03-31,3147608.8,3500000.0,NY,0.0683,1.207
33736,95780487,100,2016-03-31,4251619.62,4800000.0,CA,0.056,1.877
34091,96414504,100,2016-03-31,3568328.12,3880922.0,WA,0.0749,2.516
34541,97414504,100,2016-03-31,3646467.72,4026321.28,WA,0.0645,1.301
34931,98278002,100,2016-03-31,6269765.98,8000000.0,PA,0.0581,1.376
35118,98829708,100,2016-03-31,4081959.86,4230739.4,IL,0.0523,1.35
35226,99259942,100,2016-03-31,6574633.23,7000000.0,AZ,0.029405,1.495
35423,99412504,500,2016-03-31,,17357000.0,CA,0.063,1.415
35859,100412504,100,2016-03-31,36000000.0,36000000.0,CA,0.0623,1.437
36228,101779487,100,2016-03-31,10200634.7,11364719.1,FL,0.07428,2.144
36436,102276002,100,2016-03-31,6131928.73,8289156.22,IN,0.0664,1.465
36467,102413504,100,2016-03-31,1762366.32,1955175.0,PA,0.0649,1.349
36574,102779487,100,2016-03-31,9670857.0,10500000.0,FL,0.0556,1.326
36687,103258942,500,2016-03-31,,9500000.0,WA,0.029295,2.066
36732,103275002,100,2016-03-31,4625269.21,5594996.26,TX,0.0656,1.225
37052,104415504,100,2016-03-31,2932068.6,3138000.0,FL,0.0692,1.2
37082,104437534,100,2016-03-31,24775680.59,26850000.0,AL,0.0654,1.303
37147,105096940,100,2016-03-31,9090820.81,10000000.0,WI,0.0512,1.764
37178,105099940,450,2016-03-31,,12367000.0,LA,0.0625,1.3
37362,105779487,100,2016-03-31,17482867.24,18718000.0,SC,0.0601,1.447
37532,106274002,100,2016-03-31,3738393.59,5000000.0,WI,0.0654,1.396
37608,106278002,100,2016-03-31,12871685.17,16500000.0,NY,0.0552,2.375
37705,106779487,100,2016-03-31,5000000.0,5000000.0,MD,0.029405,1.59
37851,107270002,100,2016-03-31,1018749.24,1270000.0,LA,0.0731,1.279
37978,107274002,100,2016-03-31,5158985.66,6900000.0,WI,0.0654,1.395
38039,107277002,100,2016-03-31,989916.64,2450000.0,NY,0.07596,1.335
38100,107440534,100,2016-03-31,2992692.37,3110000.0,MO,0.06357,1.178
38408,108274002,100,2016-03-31,2504724.7,3350000.0,WI,0.0654,1.408
38469,108412504,100,2016-03-31,9905113.97,11000000.0,CA,0.0607,1.242
38533,108870968,100,2016-03-31,1384164.67,1596894.18,PA,0.0573,1.2
38728,109272002,100,2016-03-31,10429483.4,12000000.0,FL,0.029405,1.489
38780,109275002,100,2016-03-31,1258685.97,2500000.0,MI,0.0596,1.349
38827,109276002,100,2016-03-31,4182004.95,5234753.55,NE,0.0597,1.269
38920,109278002,100,2016-03-31,14627681.51,18500000.0,NJ,0.0584,1.326
38943,109418504,100,2016-03-31,7027011.71,7636971.0,MD,0.0604,2.58
39138,110259942,100,2016-03-31,7160846.81,8000000.0,NM,0.0563,1.495
39360,110412504,100,2016-03-31,14204497.5,15800000.0,WA,0.0599,1.23
39383,110418504,100,2016-03-31,5811179.37,6330000.0,MD,0.0588,1.422
39411,110437534,100,2016-03-31,2089678.92,2280000.0,MN,0.0653,1.409
39485,110870968,500,2016-03-31,,4996269.94,NY,0.0639,1.559
39725,111278002,100,2016-03-31,4546441.19,5750000.0,PA,0.0584,1.337
39789,111779487,100,2016-03-31,15078379.45,16250000.0,NC,0.0563,1.417
39805,111806708,100,2016-03-31,4366141.03,5000000.0,PA,0.0425,1.951
39810,111822708,100,2016-03-31,13060000.0,13060000.0,IL,0.0476,1.4015736
40417,113278002,100,2016-03-31,15023025.09,19000000.0,NJ,0.0584,1.333
40452,113440534,100,2016-03-31,29471009.26,30750000.0,MD,0.05312,1.166
40485,113779487,100,2016-03-31,4067475.63,4600000.0,TN,0.0599,1.211
40553,113869948,100,2016-03-31,473064.85,550000.0,FL,0.0636,1.16
40587,113871968,100,2016-03-31,10541749.13,11000000.0,PA,0.0578,1.722
40931,114871968,100,2016-03-31,3867231.85,4400000.0,PA,0.0573,1.282
41001,115099940,100,2016-03-31,9825690.37,10275000.0,KY,0.0607,1.456
41214,115278002,100,2016-03-31,2727868.03,3450000.0,NJ,0.0584,1.34
41291,115871968,100,2016-03-31,768868.81,1383000.0,NY,0.0668,1.669
41483,116278002,100,2016-03-31,3953426.96,5000000.0,NJ,0.0584,1.329
41535,116439534,100,2016-03-31,14669612.71,16685000.0,TX,0.033405,1.853
41603,116778487,100,2016-03-31,1827543.05,2012000.0,NY,0.066,1.2
41637,116871968,100,2016-03-31,1112366.44,2000000.0,PA,0.0605,19.899
41661,116872968,100,2016-03-31,13218058.34,14300000.0,OR,0.062,1.517
41918,117278002,100,2016-03-31,7906856.09,10000000.0,PA,0.0584,1.331
41940,117412504,100,2016-03-31,4953847.21,5135000.0,TX,0.0719,1.244
41991,117781487,100,2016-03-31,1770638.05,2000000.0,WV,0.0611,1.167
42361,119099940,100,2016-03-31,13387802.23,14000000.0,TN,0.0607,1.456
42664,119779487,100,2016-03-31,11741566.93,12200000.0,VA,0.0537,1.579
42674,119829708,100,2016-03-31,2794906.26,2871000.0,NJ,0.0625,1.3
42710,119870968,100,2016-03-31,2457372.0,2750000.0,NY,0.0554,1.856
42749,120097940,100,2016-03-31,5800000.0,5800000.0,IN,0.0592,2.199
42841,120272002,500,2016-03-31,,22000000.0,NC,0.0601,1.546
42964,120278002,100,2016-03-31,1541837.45,1950000.0,NJ,0.0584,1.34
43121,121099940,100,2016-03-31,14467177.22,15100000.0,GA,0.059,1.522
43278,121259942,100,2016-03-31,2272446.21,2500000.0,CA,0.0583,2.248
43593,122099940,100,2016-03-31,4542290.15,4750000.0,AL,0.0607,1.434
43877,123099940,100,2016-03-31,12814039.26,13400000.0,AL,0.0607,1.466
44153,123278002,100,2016-03-31,5495264.49,6950000.0,NJ,0.0584,1.329
44170,123415504,100,2016-03-31,5100412.22,5150840.67,DC,0.0831,1.153
44359,124098940,100,2016-03-31,13093660.3,14900000.0,GA,0.029405,1.486
44430,124272002,500,2016-03-31,,17000000.0,LA,0.0578,1.303
44478,124278002,100,2016-03-31,5692935.15,7200000.0,NJ,0.0584,1.327
44536,124412504,100,2016-03-31,6178360.42,6717000.0,ID,0.0665,1.609
44818,125278002,100,2016-03-31,1366628.18,2540000.0,MA,0.057,1.481
44849,125411504,100,2016-03-31,20308141.07,22812000.0,IN,0.0583,1.262
44880,125412504,100,2016-03-31,12618866.41,13719000.0,ID,0.0665,1.609
44906,125415504,100,2016-03-31,8876848.56,9750000.0,NC,0.0575,1.403
45004,125779487,100,2016-03-31,18236123.53,19000000.0,MD,0.0583,1.364
45121,126278002,100,2016-03-31,9488225.97,12000000.0,NJ,0.0584,1.392
45143,126418504,100,2016-03-31,16925229.51,18297000.0,NY,0.0551,1.622
45375,128098940,100,2016-03-31,85379909.47,82442180.0,VA,0.0557,1.419
45509,128412504,100,2016-03-31,2682164.05,2916000.0,ID,0.0665,1.64
45537,128414504,100,2016-03-31,100076178.07,110000000.0,NY,0.0619,1.505
45640,128778487,100,2016-03-31,9356000.0,9356000.0,WA,0.0607,1.471
45883,129411504,500,2016-03-31,,6800000.0,IN,0.0583,1.27
45925,129778487,100,2016-03-31,16740000.0,16740000.0,WA,0.0605,1.458
45927,129825708,100,2016-03-31,34200000.0,34200000.0,AZ,0.031705,2.3199229
45967,130098940,100,2016-03-31,36669066.29,35378200.0,VA,0.0557,1.432
46066,130278002,100,2016-03-31,3953426.96,5000000.0,PA,0.0584,1.396
46114,130781487,100,2016-03-31,6500000.0,6500000.0,MD,0.0651,1.514
46149,130871948,100,2016-03-31,9679000.0,9679000.0,FL,0.0607,1.266
46221,131097940,100,2016-03-31,6243353.41,6840000.0,TX,0.0621,1.441
46505,131781487,100,2016-03-31,3741804.62,3950000.0,WI,0.0611,1.152
46738,132437534,100,2016-03-31,1167211.79,1500000.0,SC,0.0601,1.734
47027,133411504,100,2016-03-31,2096575.09,2350000.0,CT,0.0593,1.4
47097,134096940,100,2016-03-31,5078696.78,5550000.0,MN,0.0604,1.474
47386,134270002,100,2016-03-31,3119811.08,4500000.0,TN,0.0637,1.335
47443,134414504,100,2016-03-31,7088126.09,7892000.0,OR,0.0587,1.2
47472,134437534,100,2016-03-31,5214432.16,5700000.0,TN,0.0658,1.301
47518,134778487,100,2016-03-31,4523531.02,5000000.0,NY,0.0646,1.204
47551,134779487,100,2016-03-31,19285483.37,20100000.0,VA,0.0579,1.427
47794,135278002,100,2016-03-31,2213918.86,2800000.0,NJ,0.0584,1.328
47849,135779487,100,2016-03-31,10050519.28,10475000.0,VA,0.0579,1.421
47996,136274002,100,2016-03-31,2088993.33,4200000.0,MI,0.0609,1.966
48059,136278002,100,2016-03-31,1976713.43,2500000.0,NJ,0.0584,1.561
48116,136413504,100,2016-03-31,8930590.75,9991168.63,PA,0.0662,1.208
48145,136414504,100,2016-03-31,30209145.49,32500000.0,OK,0.0566,2.048
48227,136778487,100,2016-03-31,979391.74,1085000.0,MI,0.0656,1.263
48257,136780487,100,2016-03-31,4685823.59,5250000.0,KS,0.0588,1.35
48428,137272002,500,2016-03-31,,3500000.0,TN,0.029405,2.056
48474,137276002,100,2016-03-31,5424829.56,6710000.0,TX,0.0599,1.032
48732,138256942,100,2016-03-31,4607558.55,5050000.0,DC,0.035105,1.661
48904,138270002,100,2016-03-31,1796343.03,2200000.0,TN,0.0783,1.25
49029,138278002,100,2016-03-31,4766078.13,6700000.0,PA,0.0578,1.433
49334,139780487,100,2016-03-31,27705454.43,31475000.0,WA,0.0555,1.151
49358,139872968,100,2016-03-31,4883578.68,5600000.0,CA,0.032705,1.72
49689,140276002,100,2016-03-31,4988397.81,5800000.0,KY,0.0588,1.701
49750,140413504,100,2016-03-31,27335376.03,30772831.85,VA,0.0576,1.651
49803,140821708,100,2016-03-31,6374041.38,6500000.0,TX,0.0519,1.251
49808,140822708,100,2016-03-31,10326396.58,10550000.0,AZ,0.039205,1.436
49832,140872968,100,2016-03-31,7680119.75,8263000.0,PA,0.0711,1.375
50363,142259942,100,2016-03-31,12300437.88,12957000.0,AZ,0.0569,1.408
50494,142278002,100,2016-03-31,4111565.22,5200000.0,NJ,0.0584,1.347
50585,142883948,100,2016-03-31,561471.6,599403.62,OH,0.0528,1.331
50760,143241932,100,2016-03-31,13315484.23,13376662.68,CA,0.036805,1.459
50967,143278002,100,2016-03-31,3215363.09,3975000.0,NJ,0.064,1.252
51042,143824708,100,2016-03-31,32420000.0,32420000.0,PA,0.027005,2.772864
51242,144272002,100,2016-03-31,5275066.58,10944937.96,DC,0.0547,1.262
51348,144278002,100,2016-03-31,14301288.59,17680000.0,PA,0.064,1.264
51378,144413504,100,2016-03-31,3534289.27,4200000.0,NJ,0.0615,1.496
51606,145253002,500,2016-03-31,,4440000.0,AZ,0.0759,1.297
51624,145256942,100,2016-03-31,1942908.42,2120000.0,DC,0.038025,1.596
51661,145259942,100,2016-03-31,10233162.95,12000000.0,CA,0.0544,1.281
51845,145780487,500,2016-03-31,,9900000.0,WA,0.029295,1.47
52250,147256942,100,2016-03-31,1464333.45,1600000.0,DC,0.037115,1.709
52338,147883948,100,2016-03-31,27836770.69,30000000.0,GA,0.041605,1.428
52376,148098940,100,2016-03-31,12201208.07,14000000.0,FL,0.0638,1.254
52437,148256942,100,2016-03-31,1754923.59,1920000.0,DC,0.036265,1.892
52568,148438534,100,2016-03-31,5971840.58,6442000.0,TX,0.0674,1.629
52636,148828708,100,2016-03-31,5767802.09,6000000.0,MD,0.0554,1.316
52966,149438534,100,2016-03-31,2000501.32,2158000.0,TX,0.0674,1.711
52988,149439534,100,2016-03-31,9520965.3,10675000.0,IN,0.039505,1.725
53100,149871968,100,2016-03-31,3769490.83,4150000.0,TX,0.0603,1.767
53198,150117981,100,2016-03-31,1223808.33,1770000.0,IN,0.0763,0.0
53259,150256942,100,2016-03-31,7513975.04,8150000.0,DC,0.042105,1.466
53376,150438534,100,2016-03-31,3463386.85,3950000.0,SC,0.041405,2.078
53461,151098940,100,2016-03-31,48402928.54,50489513.0,VA,0.07449,2.27
53644,151119981,100,2016-03-31,1744378.27,3500000.0,FL,0.0701,0.0
53726,151259942,100,2016-03-31,7650000.0,7650000.0,CO,0.0577,1.487
53985,151411504,500,2016-03-31,,22950000.0,TX,0.029295,1.473
54074,151823708,100,2016-03-31,2988834.27,3024334.23,TX,0.0443,1.35
54112,152098940,100,2016-03-31,28248774.06,30000000.0,VA,0.059,1.544
54314,152824708,100,2016-03-31,14662500.0,14662500.0,NC,0.029905,2.5977523
54349,152871948,100,2016-03-31,20688000.0,20688000.0,NC,0.0607,1.286
54428,153097940,100,2016-03-31,7853998.43,8450000.0,OK,0.0621,1.471
54676,154097940,100,2016-03-31,1375624.21,1600000.0,OH,0.029405,1.308
54711,154099940,100,2016-03-31,9677753.34,11000000.0,LA,0.0613,1.249
55074,155096940,100,2016-03-31,2851813.47,3320000.0,SD,0.0525,1.761
55113,155098940,100,2016-03-31,22088483.52,26000000.0,SC,0.0578,1.065
55691,156259942,100,2016-03-31,3458763.03,3650000.0,CA,0.0576,1.501
55938,157096940,100,2016-03-31,6507591.14,8000000.0,MN,0.0517,1.279
55973,157099940,100,2016-03-31,10227625.29,11625000.0,LA,0.0613,1.212
56093,157278002,100,2016-03-31,5379161.52,6650000.0,PA,0.064,1.31
56395,158259942,100,2016-03-31,4352796.27,4840000.0,CA,0.029405,1.59
56472,158272002,100,2016-03-31,1604610.0,1770506.0,GA,0.0683,1.209
56574,158278002,100,2016-03-31,6471171.5,8000000.0,NJ,0.064,1.251
56628,158415504,100,2016-03-31,12692397.92,14000000.0,DC,0.0584,1.471
56711,158871948,100,2016-03-31,10274802.95,10740000.0,LA,0.067,1.281
56745,159099940,100,2016-03-31,21617042.55,24815000.0,FL,0.0608,1.281
57074,159871948,100,2016-03-31,8101586.49,8500000.0,LA,0.067,1.194
57363,160272002,500,2016-03-31,,10000000.0,FL,0.0608,1.472
57470,160779487,500,2016-03-31,,10850000.0,GA,0.029295,1.643
57734,161265002,100,2016-03-31,480140.35,9200000.0,CO,0.0679,1.394
57862,161418504,100,2016-03-31,13940417.06,15000000.0,MA,0.0488,1.839
57957,162098940,500,2016-03-31,,4293756.75,VA,0.0596,1.36
58309,162412504,100,2016-03-31,2315625.21,2600000.0,CA,0.0585,1.591
58335,162438534,100,2016-03-31,1190269.2,1300000.0,FL,0.0598,1.589
