,loan_id,dlq_status_text,distributiondate,actual_balance,original_note_amount,state,note_rate,dscr_(ncf)
121,302781002,100,01/25/2017,65130000,65130000,IL,0.0381,2.87
122,10064676,100,01/25/2017,65000000,65000000,NY,0.0377,3.08
123,300060002,100,01/25/2017,64906824,65200000,CA,0.0355,2.28
124,30305785,100,01/25/2017,64702936,67410000,VA,0.029237,1.56
125,30288569,100,01/25/2017,64650270,68275000,VA,0.0385,1.16
126,30309886,100,01/25/2017,64650000,64650000,CA,0.024237,3.83
127,30268882,100,01/25/2017,64615833,72675000,VA,0.056,1.3
128,10082868,100,01/25/2017,64425000,64425000,FL,0.029837,2.93
129,30310302,100,01/25/2017,64270000,64270000,GA,0.025937,3.39
130,10062310,100,01/25/2017,63863220,70000000,MI,0.0441,1.94
131,30305942,100,01/25/2017,63828651,69250000,CT,0.030437,1.65
132,305331003,100,01/25/2017,63750000,63750000,CO,0.0294,2.597
133,303841002,100,01/25/2017,63664923,66375000,NY,0.0356,1.338
134,501164329,100,01/25/2017,63654617,66000000,VA,0.0387,1.552
135,10093493,100,01/25/2017,63445616,66421000,GA,0.0367,1.5
136,10093493,100,01/25/2017,63445616,66421000,CA,0.0367,1.5
137,10097997,100,01/25/2017,63300000,63300000,TX,0.0329,2.29
138,10073887,100,01/25/2017,62733886,68650000,CA,0.0418,2.67
139,305131002,100,01/25/2017,62510292,65550000,CA,0.0343,1.404
140,10069468,100,01/25/2017,62418723,65633000,MA,0.0336,1.45
141,304221002,100,01/25/2017,62334000,62334000,GA,0.037,2.05
142,304901102,100,01/25/2017,62220000,62220000,MD,0.0361,2.103
143,10073942,100,01/25/2017,62062500,62062500,CO,0.0411,2.31
144,10061480,100,01/25/2017,62009511,65367000,LA,0.062,1.35
145,10097996,100,01/25/2017,61832334,64200000,CT,0.0389,1.79
146,10082645,100,01/25/2017,61659000,61659000,CA,0.0321,3.87
147,302421001,100,01/25/2017,61263053,62500000,VA,0.028137,1.919
148,10061503,100,01/25/2017,61256996,61500000,VA,0.042,1.6
149,10074286,100,01/25/2017,61245700,62156000,CA,0.0375,1.5
150,10074236,100,01/25/2017,60611841,61673000,CA,0.0346,1.82
151,714100003,100,01/25/2017,60500000,60500000,IL,0.0382,2.602
152,10099789,100,01/25/2017,60000000,60000000,IL,0.0435,1.9
153,304991017,100,01/25/2017,60000000,60000000,PA,0.025237,2.813
154,300911003,100,01/25/2017,60000000,60000000,MD,0.0331,2.761
155,10099790,100,01/25/2017,59300000,59300000,MD,0.0411,2.02
156,30310354,100,01/25/2017,59250000,59250000,CA,0.029337,1.51
157,305131003,100,01/25/2017,59105047,60710000,TX,0.0382,1.174
158,304741037,100,01/25/2017,59050000,59050000,OR,0.0431,2.104
159,10099791,100,01/25/2017,59000000,59000000,MD,0.0438,1.38
160,30309570,100,01/25/2017,59000000,59000000,IL,0.024937,3.71
161,534403174,100,01/25/2017,58600000,29300000,CA,0.0423,2.62
162,301451002,100,01/25/2017,58428064,62000000,VA,0.0418,1.433
163,304611002,100,01/25/2017,58077000,58077000,GA,0.037,2.07
164,818100002,100,01/25/2017,57975333,64443000,CA,0.0382,1.748
165,10093494,100,01/25/2017,57575000,57575000,KY,0.0368,2.08
166,10093494,100,01/25/2017,57575000,57575000,CA,0.0368,2.08
167,46100002,100,01/25/2017,57433257,60000000,MA,0.0373,1.358
168,304741001,100,01/25/2017,57375000,57375000,AZ,0.0392,2.387
169,708151213,100,01/25/2017,57199000,57199000,TX,0.0414,1.93
170,300501003,100,01/25/2017,57120474,62500000,CA,0.031,1.26
171,304991018,100,01/25/2017,57000000,57000000,VA,0.026437,2.791
172,303681005,100,01/25/2017,57000000,57000000,TX,0.0388,2.076
173,304741038,100,01/25/2017,56997212,58340000,CA,0.0425,1.782
174,820101747,100,01/25/2017,56925974,62550000,NY,0.0416,1.32
175,10086983,100,01/25/2017,56903639,60000000,NY,0.0401,3.58
176,30309870,100,01/25/2017,56215000,56215000,MD,0.023737,3.81
177,301561002,100,01/25/2017,55784026,55967000,OH,0.051,1.424
178,833100003,100,01/25/2017,55637241,58670000,CT,0.0416,1.425
179,304741002,100,01/25/2017,55592000,55592000,FL,0.0392,1.636
180,30304088,100,01/25/2017,55584000,55584000,TX,0.0375,1.89
181,30309900,100,01/25/2017,55425000,55425000,CA,0.025537,3.35
182,10062939,100,01/25/2017,55341964,56600000,MD,0.0443,1.63
183,34000001,100,01/25/2017,55290595,60025000,GA,0.0599,1.781
184,10100818,100,01/25/2017,55250000,55250000,CO,0.0323,2.79
185,10097998,100,01/25/2017,55215000,55215000,MD,0.0357,1.92
186,10096472,100,01/25/2017,55000000,55000000,CA,0.0347,2.0
187,10074237,100,01/25/2017,54960000,54960000,VA,0.0363,2.13
188,10097999,100,01/25/2017,54750000,54750000,CA,0.0332,2.37
189,30309060,100,01/25/2017,54704000,54704000,TX,0.024037,3.32
190,30304083,100,01/25/2017,54623198,59708000,MD,0.0379,1.41
191,491000002,100,01/25/2017,54608731,61189000,VA,0.0459,1.3
192,650100002,100,01/25/2017,54335253,61100000,PA,0.0423,2.299
193,10102890,100,01/25/2017,54304000,54304000,SC,0.0358,1.9
194,940998343,100,01/25/2017,54300000,54300000,CA,0.0402,3.795
195,10054723,100,01/25/2017,54124415,58330000,CA,0.058,1.78
196,30308283,100,01/25/2017,53957705,54200000,VA,0.0358,2.11
197,301561003,100,01/25/2017,53907347,54980000,TX,0.0479,1.386
198,10084973,100,01/25/2017,53863000,53863000,TX,0.0446,1.78
199,30305791,100,01/25/2017,53770768,55910000,FL,0.029237,2.06
200,303171003,100,01/25/2017,53556000,53556000,FL,0.0394,2.242
201,304611003,100,01/25/2017,53500000,53500000,TX,0.0373,2.224
202,304221003,100,01/25/2017,53280000,53280000,UT,0.0324,2.28
203,30305790,100,01/25/2017,53263969,56773000,NJ,0.029237,2.06
204,10082646,100,01/25/2017,53201543,56473000,VA,0.0429,1.02
205,301561004,100,01/25/2017,53187568,53535000,WA,0.0432,2.564
206,291000004,100,01/25/2017,52720438,57710000,PA,0.037,1.235
207,818100003,100,01/25/2017,52427842,55575000,TX,0.0397,1.382
208,820105304,100,01/25/2017,52180487,52663000,MO,0.0431,1.032
209,30288577,100,01/25/2017,52050000,52050000,CA,0.0399,2.36
210,10086984,100,01/25/2017,52000000,52000000,FL,0.0449,2.11
211,10102153,100,01/25/2017,52000000,52000000,CA,0.0378,2.43
212,304901103,100,01/25/2017,52000000,52000000,FL,0.0345,2.138
213,824100002,100,01/25/2017,51986000,51986000,MD,0.0398,1.962
214,30309061,100,01/25/2017,51840000,51840000,TX,0.024037,3.34
215,708151949,100,01/25/2017,51817000,51817000,TX,0.0414,1.81
216,300591002,100,01/25/2017,51700000,51700000,WA,0.035,2.93
217,303171004,100,01/25/2017,51635000,51635000,OR,0.0409,2.067
218,30309062,100,01/25/2017,51619000,51619000,TX,0.024037,3.51
219,304611004,100,01/25/2017,51595000,51595000,CO,0.037,1.792
220,10102891,100,01/25/2017,51350000,51350000,TX,0.0379,1.87
221,10084974,100,01/25/2017,51272093,54416000,NY,0.04441,1.25
222,305161001,100,01/25/2017,51230000,51230000,FL,0.0406,1.934
223,300340002,100,01/25/2017,51222926,56000000,VA,0.0329,1.324
224,10102154,100,01/25/2017,50659907,51844000,NJ,0.0429,1.48
225,10081393,100,01/25/2017,50635531,55000000,NY,0.0289,1.43
226,30310448,100,01/25/2017,50550000,25275000,CA,0.029637,2.94
227,30310455,100,01/25/2017,50410000,25205000,NH,0.029637,3.17
228,30309063,100,01/25/2017,50400000,50400000,FL,0.025037,3.41
229,304991019,100,01/25/2017,50400000,50400000,AL,0.027937,3.311
230,10054724,100,01/25/2017,50315402,54375000,CA,0.0551,1.74
231,10063797,100,01/25/2017,50175000,50175000,FL,0.0379,2.88
232,46100004,100,01/25/2017,50107579,52400000,CA,0.0399,1.719
233,824100003,100,01/25/2017,49950000,49950000,PA,0.0398,2.252
234,300651004,100,01/25/2017,49914650,50621000,FL,0.04,1.912
235,304221004,100,01/25/2017,49726000,49726000,CO,0.037,1.84
236,10082647,100,01/25/2017,49571745,52620000,VA,0.0429,0.99
237,10073684,100,01/25/2017,49527164,53880000,PA,0.0433,1.47
238,838100002,100,01/25/2017,49525806,53500000,VA,0.0492,1.313
239,305131004,100,01/25/2017,49500000,49500000,CO,0.0384,2.041
240,301451003,100,01/25/2017,49250793,53085000,FL,0.036,1.238
241,301901002,100,01/25/2017,49200000,49200000,CA,0.0395,2.474
242,10102155,100,01/25/2017,49010000,49010000,TX,0.037,1.68
243,10074293,100,01/25/2017,49000000,49000000,CA,0.0369,2.51
244,10069479,100,01/25/2017,48778918,51000000,TN,0.0363,1.37
245,10064886,100,01/25/2017,48750819,51000000,WA,0.0532,1.88
246,304901104,100,01/25/2017,48524000,48524000,TX,0.0352,1.645
247,30309614,100,01/25/2017,48498317,49750000,CA,0.028737,2.57
248,30305782,100,01/25/2017,48496967,50526000,VA,0.029237,1.47
249,10069489,100,01/25/2017,48468353,49950000,CA,0.0351,1.34
250,10102892,100,01/25/2017,48400000,48400000,GA,0.0429,1.96
251,304611005,100,01/25/2017,48400000,48400000,UT,0.0354,2.232
252,10096997,100,01/25/2017,48375000,48375000,NC,0.026937,2.64
253,820100464,100,01/25/2017,48226000,48226000,CA,0.0491,2.006
254,10081424,100,01/25/2017,48148695,49680000,UT,0.0358,1.58
255,10073056,100,01/25/2017,48107670,51765000,TX,0.0283,1.8
256,10102893,100,01/25/2017,48095000,48095000,CA,0.0404,2.06
257,10098000,100,01/25/2017,48028000,48028000,MD,0.0357,1.69
258,10074216,100,01/25/2017,48000000,48000000,RI,0.035,2.6
259,30305786,100,01/25/2017,47840692,49744000,VA,0.029237,1.46
260,10073965,100,01/25/2017,47829306,49995000,MD,0.0366,1.47
261,30304094,100,01/25/2017,47797824,49950000,NJ,0.0369,1.27
262,10074266,100,01/25/2017,47748718,48400000,IL,0.0365,1.75
263,818100004,100,01/25/2017,47734449,50520000,FL,0.0412,1.797
264,10096473,100,01/25/2017,47646000,47646000,MD,0.0399,2.03
265,300060004,100,01/25/2017,47620355,48750000,TX,0.039,1.37
266,10064682,100,01/25/2017,47587784,49975000,FL,0.0388,1.51
267,300911005,100,01/25/2017,47563870,48000000,VA,0.0352,2.564
268,30309860,100,01/25/2017,47380000,47380000,NV,0.026887,4.06
269,30305784,100,01/25/2017,47377792,49360000,VA,0.029237,0.79
270,46100006,100,01/25/2017,47371522,47800000,CA,0.0359,1.725
271,10081454,100,01/25/2017,47234482,47796000,AZ,0.0371,1.49
272,304901105,100,01/25/2017,47200000,47200000,IL,0.0359,1.519
273,501164331,100,01/25/2017,47162285,48900000,MD,0.0387,1.471
274,10086985,100,01/25/2017,47000000,47000000,MD,0.0466,1.58
275,304901106,100,01/25/2017,47000000,47000000,IL,0.0359,1.582
276,501164338,100,01/25/2017,46988681,48720000,MD,0.0387,1.654
277,10061541,100,01/25/2017,46985196,52000000,WA,0.0406,1.77
278,301451004,100,01/25/2017,46965182,49500000,VA,0.0349,1.377
279,300060003,100,01/25/2017,46963410,49000000,FL,0.0389,1.47
280,10057850,100,01/25/2017,46875000,46875000,NY,0.0441,2.34
281,300340004,100,01/25/2017,46785652,47700000,MD,0.0384,1.632
282,300911006,100,01/25/2017,46750000,46750000,IL,0.0321,3.026
283,968699421,100,01/25/2017,46744997,50500000,NY,0.0617,1.9
284,30310276,100,01/25/2017,46720000,46720000,FL,0.028137,3.27
285,300340005,100,01/25/2017,46720000,46720000,CA,0.0369,3.021
286,10098001,100,01/25/2017,46702000,46702000,CA,0.0353,1.87
287,10096998,100,01/25/2017,46500000,46500000,CO,0.026937,3.48
288,10102156,100,01/25/2017,46500000,46500000,CO,0.0387,2.31
289,304901107,100,01/25/2017,46440000,46440000,TX,0.0378,1.812
290,10064722,100,01/25/2017,46436465,6825000,MD,0.0399,1.55
291,302841107,100,01/25/2017,46410000,46410000,GA,0.025237,3.647
292,10093641,100,01/25/2017,46400000,46400000,CO,0.0403,2.09
293,301961001,100,01/25/2017,46305699,49975000,IL,0.032837,2.0
294,10098666,100,01/25/2017,46265000,46265000,FL,0.0384,2.2
295,10063070,100,01/25/2017,46240897,48050000,MI,0.0355,1.71
296,10096474,100,01/25/2017,46150000,46150000,CO,0.0382,2.25
297,10074265,100,01/25/2017,46129367,49000000,TX,0.0361,1.32
298,302521002,100,01/25/2017,46123835,47600000,VA,0.0383,1.437
299,670100001,100,01/25/2017,46040000,46040000,NY,0.0503,2.337
300,10057471,100,01/25/2017,45823545,49950000,CA,0.0335,1.89
301,304611006,100,01/25/2017,45791000,45791000,PA,0.0425,1.79
302,10102894,100,01/25/2017,45680000,45680000,TX,0.0382,2.16
303,504139525,100,01/25/2017,45677033,50981000,CO,0.0589,1.76
304,301901003,100,01/25/2017,45654856,48200000,TN,0.0436,1.487
305,30310454,100,01/25/2017,45640000,22820000,NC,0.029637,3.28
306,10098002,100,01/25/2017,45600000,45600000,CO,0.0391,2.23
307,10063203,100,01/25/2017,45579275,47905000,MD,0.0379,1.16
308,300911007,100,01/25/2017,45551635,46167000,NY,0.037,2.225
309,30309064,100,01/25/2017,45525000,45525000,VA,0.026137,3.06
310,10073936,100,01/25/2017,45500776,47300000,AZ,0.0372,1.27
311,30308284,100,01/25/2017,45500000,45500000,WA,0.0325,2.49
312,304221005,100,01/25/2017,45500000,45500000,MA,0.0363,2.14
313,30310453,100,01/25/2017,45470000,22735000,CA,0.029637,2.8
314,456000005,100,01/25/2017,45204368,48200000,NC,0.0534,1.406
315,10060759,100,01/25/2017,45184405,49950000,VA,0.0433,2.3
316,504141244,100,01/25/2017,45131188,49500000,TX,0.0546,1.55
317,10064683,100,01/25/2017,45122966,10575000,SC,0.0399,2.0
318,302781003,100,01/25/2017,45066831,47000000,WA,0.0414,1.75
319,10052956,100,01/25/2017,45060000,45060000,CA,0.0555,2.65
320,300340006,100,01/25/2017,45050000,45050000,TX,0.0369,2.401
321,10063209,100,01/25/2017,45029448,49620000,CA,0.0365,1.3
322,46100005,100,01/25/2017,45012816,49203000,MD,0.0379,1.521
323,30308555,100,01/25/2017,45000000,45000000,CO,0.025737,4.4
324,30268934,100,01/25/2017,45000000,45000000,TX,0.0579,2.13
325,10102157,100,01/25/2017,45000000,45000000,CO,0.0389,2.21
326,225110268,100,01/25/2017,44897251,50779000,AL,0.0605,1.198
327,10093642,100,01/25/2017,44846000,44846000,IL,0.0416,1.66
328,304221006,100,01/25/2017,44800000,44800000,NV,0.0388,1.62
329,714100004,100,01/25/2017,44784802,47226000,CT,0.0416,1.477
330,30305801,100,01/25/2017,44759283,46540000,CA,0.029237,1.93
331,456000007,100,01/25/2017,44600000,44600000,VA,0.0517,2.295
332,300340003,100,01/25/2017,44560814,48500000,SC,0.0419,1.788
333,30305787,100,01/25/2017,44554733,47490000,FL,0.029237,1.83
334,30309065,100,01/25/2017,44526000,44526000,TX,0.025037,3.19
335,300060005,100,01/25/2017,44514339,46500000,MD,0.0374,1.32
336,10100819,100,01/25/2017,44437000,44437000,TX,0.0388,1.74
337,303681006,100,01/25/2017,44355790,46000000,NJ,0.0406,1.994
338,30308561,100,01/25/2017,44344000,44344000,CA,0.025637,3.36
339,30305780,100,01/25/2017,44315896,46170000,VA,0.029237,1.42
340,10062326,100,01/25/2017,44276780,46000000,PA,0.0424,1.42
341,10098667,100,01/25/2017,44250000,44250000,OR,0.0381,2.07
342,301451005,100,01/25/2017,44249504,45975000,CO,0.0423,1.608
343,30310092,100,01/25/2017,44240709,46280000,FL,0.026737,2.16
344,30310447,100,01/25/2017,44170000,22085000,MA,0.029637,1.89
345,304901108,100,01/25/2017,44132000,44132000,CO,0.0345,2.26
346,30305783,100,01/25/2017,44061538,45905000,VA,0.029237,1.48
347,30310460,100,01/25/2017,44010000,22005000,NC,0.029637,3.12
348,10102895,100,01/25/2017,44000000,44000000,IL,0.0366,2.72
349,304901109,100,01/25/2017,43996000,43996000,VA,0.0355,1.858
350,10082648,100,01/25/2017,43932939,44200000,CO,0.0467,2.24
351,10073900,100,01/25/2017,43857307,44850000,NV,0.0341,2.1
352,30308586,100,01/25/2017,43800000,43800000,TX,0.028737,3.3
353,10102158,100,01/25/2017,43789256,44951000,CA,0.0394,1.53
354,301961002,100,01/25/2017,43783653,47120000,NY,0.035037,3.48
355,30285048,100,01/25/2017,43735485,48750000,TX,0.0467,1.5
356,30305788,100,01/25/2017,43715052,46595000,FL,0.029237,1.92
357,534370543,100,01/25/2017,43693034,48925000,CA,0.0611,1.63
358,10098003,100,01/25/2017,43600000,43600000,GA,0.0401,1.56
359,10099792,100,01/25/2017,43500000,43500000,PA,0.046,1.58
360,30309843,100,01/25/2017,43500000,43500000,GA,0.025837,3.72
361,302521003,100,01/25/2017,43500000,43500000,CA,0.0342,3.113
362,10093495,100,01/25/2017,43500000,43500000,WA,0.0373,2.61
363,10093495,100,01/25/2017,43500000,43500000,TX,0.0373,2.61
364,10059175,100,01/25/2017,43480000,43480000,NY,0.0503,2.63
365,300060006,100,01/25/2017,43455733,43640000,MO,0.0387,2.15
366,300651005,100,01/25/2017,43292758,44900000,TX,0.0383,2.129
367,860100002,100,01/25/2017,43269787,45000000,CA,0.0468,1.754
368,301901004,100,01/25/2017,43266991,45600000,IL,0.0437,1.491
369,889100003,100,01/25/2017,43260498,45750000,WA,0.0434,1.268
370,708066917,100,01/25/2017,43223287,47000000,OH,0.0365,1.88
371,304611008,100,01/25/2017,43200000,43200000,FL,0.0394,2.235
372,820107799,100,01/25/2017,43128696,44612000,CO,0.0345,1.481
373,10069508,100,01/25/2017,42919941,44000000,FL,0.0359,1.94
374,30310457,100,01/25/2017,42910000,21455000,WA,0.029637,2.35
375,10100820,100,01/25/2017,42900000,42900000,CO,0.0329,2.88
376,303171005,100,01/25/2017,42840000,42840000,CO,0.04,2.373
377,34000002,100,01/25/2017,42749463,46410000,FL,0.0599,1.809
378,304991020,100,01/25/2017,42720000,42720000,FL,0.029037,3.061
379,303681003,100,01/25/2017,42670000,42670000,GA,0.0412,1.716
380,30310451,100,01/25/2017,42570000,21285000,NC,0.029637,2.65
381,30268849,100,01/25/2017,42538282,46000000,VA,0.0566,1.285
382,708151973,100,01/25/2017,42525000,42525000,TX,0.0414,2.35
383,833100005,100,01/25/2017,42500000,42500000,CO,0.0398,2.936
384,305161002,100,01/25/2017,42500000,42500000,TX,0.0399,2.045
385,10098668,100,01/25/2017,42450000,42450000,FL,0.038,1.99
386,303681007,100,01/25/2017,42368000,42368000,CA,0.0389,2.163
387,10102159,100,01/25/2017,42340000,42340000,PA,0.0406,1.76
388,30285057,100,01/25/2017,42266362,46846000,MD,0.0488,0.71
